Appreciation,Pastor Joel Osteen,"It's good to have goals and dreams, but while you're waiting for things to change, waiting for promises to come to pass, don't be discontent with where you are. Learn to enjoy the season that you're in"
Appreciation,Alexandre Dumas,"""Those born to wealth, and who have the means of gratifying every wish, know not what is the real happiness of life, just as those who have been tossed on the stormy waters of the ocean on a few frail planks can alone realize the blessings of fair weather.""-  The Count of Monte Cristo"
Appreciation,Alexandre Dumas,"""This piece of iron which he had been allowed to keep aroused a more profound wave of gratitude towards Heaven in his heart than the greatest blessings that he experienced in his life outside of prison"" - The Count of Monte Cristo, describing Edmond Dantes when he luckily finds a piece of iron to dig a hole out of his prison"
Appreciation,Master Oogway,"Yesterday is history, tomorrow is mystery. But today is a gift. That's why we call it the Present"
Appreciation,William Arthur Ward,Feeling gratitude and not expressing it is like wrapping a present and not giving it
Appreciation,John Burroughs,"I still find each day too short for all the thoughts I want to think, all the walks I want to take, all the books I want to read, and all the friends I want to see"
Appreciation,Johann Wolfgang Von Goethe,Go to foreign countries and you will get to know the good things one possesses at home
Career,Steve jobs,"When you grow up you tend to get told that the world is the way it is and your life is just to live your life inside the world. Try not to bash into the walls too much. Try to have a nice family, have fun, save a little money. That's a very limited life. Life can be much broader once you discover one simple fact: Everything around you that you call life was made up by people that were no smarter than you and you can change it, you can influence it, you can build your own things that other people can use."
Career,Albert Einstein,"Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing it is stupid."
Career,Steve jobs,"I have looked in the mirror every morning and asked myself: ""If today were the last day of my life, would I want to do what I am about to do today?"" And whenever the answer has been ""No"" for too many days in a row, I know I need to change something."
Career,Confucius,"Choose a job you love, and you will never have to work a day in your life"
Career,Thomas Edison,I never did a day's work in my life. It was all fun
Career,Steve Jobs,"You know, my main reaction to this money thing is that it's humorous, all the attention to it, because it's hardly the most insightful or valuable thing that's happened to me"
Career,Paulo Coelho,I was not encouraged to follow the career of a writer because my parents thought that I was going to starve to death. They thought nobody can make a living from being a writer in Brazil. They were not wrong.
Career,Steve Jobs,"You've got to find what you love. Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it. And, like any great relationship, it just gets better and better as the years roll on. So keep looking until you find it. Don't settle."
Career,Unknown,I'd rather be at the bottom of a ladder I want to be on than halfway up a ladder I don't want to be on
Comedy,Charlie Chaplin,"To truly laugh, you must be able to take your pain, and play with it!"
